section,category,description,date,metric,value
Hospital Data,Hospital Level,Ventilator Use,2020-08-05,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,2020-08-05,Pediatric Critical Care Ventilators in Use,35
Hospital Data,Hospital Level,Ventilator Use,2020-08-05,Total Pediatric Critical Care Ventilators,120
Hospital Data,Hospital Level,Ventilator Use,2020-08-05,Percent of Pediatric Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,2020-08-05,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.31
Hospital Data,Hospital Level,Ventilator Use,2020-08-06,Adult Critical Care Ventilators in Use,307
Hospital Data,Hospital Level,Ventilator Use,2020-08-06,Total Adult Critical Care Ventilators,1143
Hospital Data,Hospital Level,Ventilator Use,2020-08-06,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-06,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,2020-08-06,Pediatric Critical Care Ventilators in Use,33
Hospital Data,Hospital Level,Ventilator Use,2020-08-06,Total Pediatric Critical Care Ventilators,120
Hospital Data,Hospital Level,Ventilator Use,2020-08-06,Percent of Pediatric Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,2020-08-06,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.3
Hospital Data,Hospital Level,Ventilator Use,2020-08-07,Adult Critical Care Ventilators in Use,311
Hospital Data,Hospital Level,Ventilator Use,2020-08-07,Total Adult Critical Care Ventilators,1144
Hospital Data,Hospital Level,Ventilator Use,2020-08-07,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-07,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,2020-08-07,Pediatric Critical Care Ventilators in Use,33
Hospital Data,Hospital Level,Ventilator Use,2020-08-07,Total Pediatric Critical Care Ventilators,119
Hospital Data,Hospital Level,Ventilator Use,2020-08-07,Percent of Pediatric Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,2020-08-07,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.3
Hospital Data,Hospital Level,Ventilator Use,2020-08-08,Adult Critical Care Ventilators in Use,307
Hospital Data,Hospital Level,Ventilator Use,2020-08-08,Total Adult Critical Care Ventilators,1144
Hospital Data,Hospital Level,Ventilator Use,2020-08-08,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-08,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,2020-08-08,Pediatric Critical Care Ventilators in Use,34
Hospital Data,Hospital Level,Ventilator Use,2020-08-08,Total Pediatric Critical Care Ventilators,119
Hospital Data,Hospital Level,Ventilator Use,2020-08-08,Percent of Pediatric Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,2020-08-08,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,2020-08-09,Adult Critical Care Ventilators in Use,307
Hospital Data,Hospital Level,Ventilator Use,2020-08-09,Total Adult Critical Care Ventilators,1144
Hospital Data,Hospital Level,Ventilator Use,2020-08-09,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-09,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-09,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,2020-08-09,Total Pediatric Critical Care Ventilators,119
Hospital Data,Hospital Level,Ventilator Use,2020-08-09,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-09,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.29
Hospital Data,Hospital Level,Ventilator Use,2020-08-10,Adult Critical Care Ventilators in Use,307
Hospital Data,Hospital Level,Ventilator Use,2020-08-10,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,2020-08-10,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-10,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-10,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,2020-08-10,Total Pediatric Critical Care Ventilators,119
Hospital Data,Hospital Level,Ventilator Use,2020-08-10,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-10,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,2020-08-11,Adult Critical Care Ventilators in Use,322
Hospital Data,Hospital Level,Ventilator Use,2020-08-11,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,2020-08-11,Percent of Adult Critical Care Ventilators in Use,0.28
Hospital Data,Hospital Level,Ventilator Use,2020-08-11,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-11,Pediatric Critical Care Ventilators in Use,28
Hospital Data,Hospital Level,Ventilator Use,2020-08-11,Total Pediatric Critical Care Ventilators,119
Hospital Data,Hospital Level,Ventilator Use,2020-08-11,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,2020-08-11,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-12,Adult Critical Care Ventilators in Use,309
Hospital Data,Hospital Level,Ventilator Use,2020-08-12,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,2020-08-12,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-12,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-12,Pediatric Critical Care Ventilators in Use,30
Hospital Data,Hospital Level,Ventilator Use,2020-08-12,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-12,Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,2020-08-12,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-13,Adult Critical Care Ventilators in Use,300
Hospital Data,Hospital Level,Ventilator Use,2020-08-13,Total Adult Critical Care Ventilators,1145
Hospital Data,Hospital Level,Ventilator Use,2020-08-13,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-13,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-13,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,2020-08-13,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-13,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-13,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-14,Adult Critical Care Ventilators in Use,305
Hospital Data,Hospital Level,Ventilator Use,2020-08-14,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,2020-08-14,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-14,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-14,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,2020-08-14,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-14,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-14,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-15,Adult Critical Care Ventilators in Use,307
Hospital Data,Hospital Level,Ventilator Use,2020-08-15,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,2020-08-15,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-15,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-15,Pediatric Critical Care Ventilators in Use,30
Hospital Data,Hospital Level,Ventilator Use,2020-08-15,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-15,Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,2020-08-15,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-16,Adult Critical Care Ventilators in Use,303
Hospital Data,Hospital Level,Ventilator Use,2020-08-16,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,2020-08-16,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-16,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-16,Pediatric Critical Care Ventilators in Use,28
Hospital Data,Hospital Level,Ventilator Use,2020-08-16,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-16,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,2020-08-16,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,2020-08-17,Adult Critical Care Ventilators in Use,310
Hospital Data,Hospital Level,Ventilator Use,2020-08-17,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,2020-08-17,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-17,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-17,Pediatric Critical Care Ventilators in Use,28
Hospital Data,Hospital Level,Ventilator Use,2020-08-17,Total Pediatric Critical Care Ventilators,117
Hospital Data,Hospital Level,Ventilator Use,2020-08-17,Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,2020-08-17,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,2020-08-18,Adult Critical Care Ventilators in Use,311
Hospital Data,Hospital Level,Ventilator Use,2020-08-18,Total Adult Critical Care Ventilators,1145
Hospital Data,Hospital Level,Ventilator Use,2020-08-18,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-18,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-18,Pediatric Critical Care Ventilators in Use,27
Hospital Data,Hospital Level,Ventilator Use,2020-08-18,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-18,Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,2020-08-18,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.25
Hospital Data,Hospital Level,Ventilator Use,2020-08-19,Adult Critical Care Ventilators in Use,295
Hospital Data,Hospital Level,Ventilator Use,2020-08-19,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,2020-08-19,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-19,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-19,Pediatric Critical Care Ventilators in Use,25
Hospital Data,Hospital Level,Ventilator Use,2020-08-19,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-19,Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Ventilator Use,2020-08-19,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,2020-08-20,Adult Critical Care Ventilators in Use,301
Hospital Data,Hospital Level,Ventilator Use,2020-08-20,Total Adult Critical Care Ventilators,1140
Hospital Data,Hospital Level,Ventilator Use,2020-08-20,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-20,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-20,Pediatric Critical Care Ventilators in Use,27
Hospital Data,Hospital Level,Ventilator Use,2020-08-20,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-20,Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,2020-08-20,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,2020-08-21,Adult Critical Care Ventilators in Use,311
Hospital Data,Hospital Level,Ventilator Use,2020-08-21,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,2020-08-21,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-21,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-21,Pediatric Critical Care Ventilators in Use,25
Hospital Data,Hospital Level,Ventilator Use,2020-08-21,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-21,Percent of Pediatric Critical Care Ventilators in Use,0.21
Hospital Data,Hospital Level,Ventilator Use,2020-08-21,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,2020-08-22,Adult Critical Care Ventilators in Use,304
Hospital Data,Hospital Level,Ventilator Use,2020-08-22,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,2020-08-22,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-22,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-22,Pediatric Critical Care Ventilators in Use,31
Hospital Data,Hospital Level,Ventilator Use,2020-08-22,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-22,Percent of Pediatric Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-22,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.23
Hospital Data,Hospital Level,Ventilator Use,2020-08-23,Adult Critical Care Ventilators in Use,296
Hospital Data,Hospital Level,Ventilator Use,2020-08-23,Total Adult Critical Care Ventilators,1141
Hospital Data,Hospital Level,Ventilator Use,2020-08-23,Percent of Adult Critical Care Ventilators in Use,0.26
Hospital Data,Hospital Level,Ventilator Use,2020-08-23,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-23,Pediatric Critical Care Ventilators in Use,32
Hospital Data,Hospital Level,Ventilator Use,2020-08-23,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-23,Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-23,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Ventilator Use,2020-08-24,Adult Critical Care Ventilators in Use,308
Hospital Data,Hospital Level,Ventilator Use,2020-08-24,Total Adult Critical Care Ventilators,1143
Hospital Data,Hospital Level,Ventilator Use,2020-08-24,Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-24,7-Day Average of Percent of Adult Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-24,Pediatric Critical Care Ventilators in Use,32
Hospital Data,Hospital Level,Ventilator Use,2020-08-24,Total Pediatric Critical Care Ventilators,118
Hospital Data,Hospital Level,Ventilator Use,2020-08-24,Percent of Pediatric Critical Care Ventilators in Use,0.27
Hospital Data,Hospital Level,Ventilator Use,2020-08-24,7-Day Average of Percent of Pediatric Critical Care Ventilators in Use,0.24
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,Confirmed COVID-19,56
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,COVID-19 Persons Under Investigation,43
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,Total COVID-19 Patients,99
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,Percent Confirmed COVID-19,0.57
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-22,Percent COVID-19 Persons Under Investigation,0.43
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,Confirmed COVID-19,74
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,COVID-19 Persons Under Investigation,81
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,Total COVID-19 Patients,155
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,Percent Confirmed COVID-19,0.48
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-23,Percent COVID-19 Persons Under Investigation,0.52
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,Confirmed COVID-19,116
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,COVID-19 Persons Under Investigation,176
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,Total COVID-19 Patients,292
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,Percent Confirmed COVID-19,0.4
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-24,Percent COVID-19 Persons Under Investigation,0.6
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,Confirmed COVID-19,152
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,COVID-19 Persons Under Investigation,268
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,Total COVID-19 Patients,420
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,Percent Confirmed COVID-19,0.36
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-25,Percent COVID-19 Persons Under Investigation,0.64
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,Confirmed COVID-19,230
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,COVID-19 Persons Under Investigation,379
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,Total COVID-19 Patients,609
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,Percent Confirmed COVID-19,0.38
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-26,Percent COVID-19 Persons Under Investigation,0.62
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,Confirmed COVID-19,278
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,COVID-19 Persons Under Investigation,456
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,Total COVID-19 Patients,734
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,Percent Confirmed COVID-19,0.38
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-27,Percent COVID-19 Persons Under Investigation,0.62
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,Confirmed COVID-19,307
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,COVID-19 Persons Under Investigation,540
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,Total COVID-19 Patients,847
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,Percent Confirmed COVID-19,0.36
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-28,Percent COVID-19 Persons Under Investigation,0.64
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,Confirmed COVID-19,332
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,COVID-19 Persons Under Investigation,533
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,Total COVID-19 Patients,865
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,Percent Confirmed COVID-19,0.38
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-29,Percent COVID-19 Persons Under Investigation,0.62
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,Confirmed COVID-19,358
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,COVID-19 Persons Under Investigation,530
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,Total COVID-19 Patients,888
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,Percent Confirmed COVID-19,0.4
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-30,Percent COVID-19 Persons Under Investigation,0.6
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,Confirmed COVID-19,503
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,COVID-19 Persons Under Investigation,577
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,Total COVID-19 Patients,1080
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,Percent Confirmed COVID-19,0.47
Hospital Data,Hospital Level,Currently Hospitalized,2020-03-31,Percent COVID-19 Persons Under Investigation,0.53
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,Confirmed COVID-19,574
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,COVID-19 Persons Under Investigation,622
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,Total COVID-19 Patients,1196
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,Percent Confirmed COVID-19,0.48
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-01,Percent COVID-19 Persons Under Investigation,0.52
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,Confirmed COVID-19,698
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,COVID-19 Persons Under Investigation,560
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,Total COVID-19 Patients,1258
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,Percent Confirmed COVID-19,0.55
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-02,Percent COVID-19 Persons Under Investigation,0.45
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,Confirmed COVID-19,739
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,COVID-19 Persons Under Investigation,467
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,Total COVID-19 Patients,1206
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,Percent Confirmed COVID-19,0.61
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-03,Percent COVID-19 Persons Under Investigation,0.39
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,Confirmed COVID-19,777
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,COVID-19 Persons Under Investigation,434
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,Total COVID-19 Patients,1211
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,Percent Confirmed COVID-19,0.64
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-04,Percent COVID-19 Persons Under Investigation,0.36
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,Confirmed COVID-19,783
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,COVID-19 Persons Under Investigation,489
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,Total COVID-19 Patients,1272
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,Percent Confirmed COVID-19,0.62
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-05,Percent COVID-19 Persons Under Investigation,0.38
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,Confirmed COVID-19,786
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,COVID-19 Persons Under Investigation,442
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,Total COVID-19 Patients,1228
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,Percent Confirmed COVID-19,0.64
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-06,Percent COVID-19 Persons Under Investigation,0.36
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,Confirmed COVID-19,786
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,COVID-19 Persons Under Investigation,470
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,Total COVID-19 Patients,1256
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,Percent Confirmed COVID-19,0.63
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-07,Percent COVID-19 Persons Under Investigation,0.37
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,Confirmed COVID-19,833
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,COVID-19 Persons Under Investigation,433
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,Total COVID-19 Patients,1266
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,Percent Confirmed COVID-19,0.66
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-08,Percent COVID-19 Persons Under Investigation,0.34
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,Confirmed COVID-19,848
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,COVID-19 Persons Under Investigation,429
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,Total COVID-19 Patients,1277
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,Percent Confirmed COVID-19,0.66
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-09,Percent COVID-19 Persons Under Investigation,0.34
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,Confirmed COVID-19,842
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,COVID-19 Persons Under Investigation,398
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,Total COVID-19 Patients,1240
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,Percent Confirmed COVID-19,0.68
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-10,Percent COVID-19 Persons Under Investigation,0.32
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,Confirmed COVID-19,841
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,COVID-19 Persons Under Investigation,345
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,Total COVID-19 Patients,1186
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,Percent Confirmed COVID-19,0.71
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-11,Percent COVID-19 Persons Under Investigation,0.29
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,Confirmed COVID-19,822
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,COVID-19 Persons Under Investigation,361
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,Total COVID-19 Patients,1183
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,Percent Confirmed COVID-19,0.69
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-12,Percent COVID-19 Persons Under Investigation,0.31
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,Confirmed COVID-19,842
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,COVID-19 Persons Under Investigation,376
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,Total COVID-19 Patients,1218
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,Percent Confirmed COVID-19,0.69
Hospital Data,Hospital Level,Currently Hospitalized,2020-04-13,Percent COVID-19 Persons Under Investigation,0.31
